IP,TTL,FREQ
238.2.107.13,111,3
69.224.28.24,115,8
140.133.253.92,120,1
131.191.243.254,248,1
107.236.16.249,118,2
0.61.206.154,24,2
239.229.26.227,119,40
238.77.109.52,118,9
245.252.141.0,119,8
115.68.195.139,118,142
228.86.196.48,114,9
0.102.154.186,56,5
239.150.244.223,53,5
107.210.124.190,116,7
140.135.241.185,119,1
140.135.117.166,120,5
115.68.206.67,55,2
157.197.148.155,95,3
227.233.103.100,121,55
224.82.134.69,114,44
135.203.164.114,120,5
0.84.17.155,57,1
71.222.186.128,52,17
1.16.27.49,117,7
236.102.255.206,59,2
245.252.231.96,118,127
0.255.19.57,251,1
245.252.141.213,119,41
1.16.2.32,116,23
140.123.28.100,119,4
140.115.80.1,57,1
115.42.31.114,59,6
115.40.144.27,121,4
69.224.199.145,115,4
253.241.66.181,23,1
165.206.79.148,111,4
245.38.162.187,117,3
140.137.52.246,120,3
115.43.79.62,122,3
140.142.219.166,57,3
157.197.148.154,95,3
245.105.66.75,246,17
245.56.201.249,246,1
245.252.163.122,119,34
115.43.196.184,122,87
252.44.126.200,120,3
238.76.49.35,118,4
3.176.18.76,121,28
245.244.33.255,245,1
229.13.236.48,115,6
2.46.246.183,119,8
143.182.129.236,58,46
241.8.1.143,121,24
115.51.173.63,122,3
162.134.137.254,54,1
115.41.29.181,58,4
243.21.148.42,116,230
115.46.176.7,123,99
69.24.239.225,115,1
0.144.156.97,57,9
140.116.30.220,120,8
115.52.1.138,122,1
143.165.159.125,117,5
241.8.195.108,119,2
245.255.80.133,56,1
241.113.93.17,119,23
115.254.222.250,121,3
107.212.119.236,119,4
228.84.3.173,115,211
2.58.25.229,119,27
225.211.90.40,113,4
131.68.11.243,115,1
162.157.61.62,117,6
245.253.160.130,118,6
245.252.39.131,115,4
108.66.67.172,23,1
245.253.61.172,119,4
238.148.156.26,59,1
241.8.90.40,121,53
107.255.209.11,119,25
0.180.113.208,121,3
107.215.162.2,118,10
0.180.113.209,121,3
0.20.109.188,116,18
157.197.148.153,95,3
115.51.173.21,122,3
115.34.162.21,122,4
245.239.236.106,119,6
237.8.96.138,242,18
238.207.231.157,118,1
227.190.213.11,57,6
238.203.161.2,121,12
107.218.74.43,117,1
107.218.74.43,118,366
107.214.213.24,119,4
225.213.220.17,114,6
238.2.103.192,59,18
236.67.16.96,56,4
0.180.247.128,120,48
245.253.137.187,118,30
107.215.209.251,119,6
115.51.173.29,122,3
140.139.175.33,55,1
143.173.119.8,120,123
69.239.86.185,115,4
227.212.47.213,57,1
238.76.61.175,118,14
227.33.134.34,56,1
237.130.22.142,52,31
227.212.187.131,121,4
143.90.45.82,53,3
107.210.227.190,119,32
140.137.54.244,56,2
157.222.144.15,23,1
69.73.151.254,115,5
0.185.18.245,118,1
244.165.205.57,117,8
107.254.49.99,118,1
107.254.49.99,119,587
238.148.159.29,123,4
245.252.9.79,119,3
245.239.197.170,119,14
245.253.128.16,123,5
69.242.189.247,118,5
140.138.22.62,121,1
107.87.183.201,117,5
244.172.20.254,54,21
244.172.20.254,245,1
241.201.96.16,60,4
140.119.181.132,119,6
115.51.173.10,58,3
115.51.141.181,122,1
227.197.83.118,118,6
245.253.124.228,119,3
140.140.104.73,121,20
243.242.239.153,246,42
236.68.3.65,58,1
197.205.225.255,23,1
131.50.230.123,60,1
224.87.28.180,115,40
245.10.208.184,115,73
115.48.20.2,122,4
228.87.165.147,115,177
140.136.246.67,119,6
252.64.214.159,57,3
140.137.178.82,120,1
224.80.47.17,114,61
143.165.218.181,53,6
140.129.60.2,247,2
239.184.87.1,121,1
71.220.183.251,53,1
227.197.69.159,54,88
227.197.69.159,140,1
162.134.102.157,118,35
140.130.36.87,119,8
140.140.62.120,56,11
241.98.248.251,53,1
0.180.249.184,58,190
227.117.113.1,58,1
69.24.233.233,248,1
107.233.11.183,119,1
107.233.11.183,120,68
0.84.20.180,58,145
107.213.96.39,119,16
240.11.236.243,121,2
69.240.228.24,113,157
3.176.160.234,121,1
252.44.247.161,56,1
115.50.158.222,122,3
224.216.246.216,114,6
115.43.154.122,122,142
236.204.127.252,117,1
140.136.239.234,119,2
107.213.138.181,118,7
238.180.172.129,119,144
175.60.67.251,53,1
115.42.31.144,123,1
3.176.3.82,121,5
115.43.86.178,122,4
245.239.231.168,21,13
242.55.42.4,116,10
115.49.58.255,122,1
3.189.217.151,55,3
245.112.147.162,113,9
107.214.43.107,141,1
140.140.56.77,120,1
241.245.49.135,123,11
100.253.64.149,119,7
224.216.200.122,50,12
239.238.207.98,119,5
1.88.117.23,59,1
162.134.102.1,54,1
115.45.42.62,123,1
3.176.125.57,120,4
100.171.232.218,119,7
115.52.200.42,121,2
238.190.123.253,52,1
245.239.246.245,119,11
69.224.164.123,115,109
245.252.128.156,119,3
140.137.124.72,120,4
245.252.169.18,118,5
1.241.90.26,53,5
115.43.175.43,248,1
245.239.240.207,119,5
162.157.73.244,116,4
157.197.148.152,95,3
140.129.68.77,117,6
0.61.194.181,59,1
245.56.65.147,120,10
107.236.127.103,118,1
107.236.127.103,119,15
107.236.127.182,117,1
107.236.127.182,118,7
3.176.217.75,120,1
115.54.174.237,122,4
115.51.173.138,122,3
131.135.144.130,23,1
227.190.213.12,57,1
236.213.77.16,50,45
252.44.180.66,57,1
153.125.11.242,57,2
162.157.75.186,116,6
94.124.231.16,23,1
238.190.175.205,57,4
224.213.18.163,245,3
71.199.152.128,57,9
227.33.136.53,118,14
227.33.136.53,119,14
241.8.85.24,25,1
241.8.85.24,143,1
109.83.27.128,111,1
3.176.160.249,121,4
162.138.160.225,117,1
243.243.47.249,56,2
0.84.27.10,58,57
0.84.27.7,58,1
224.82.166.99,115,5
241.8.74.120,120,1
241.84.129.20,56,2
252.60.148.12,123,1
140.123.56.223,119,1
115.55.11.244,122,99
162.133.28.212,119,2
115.43.179.23,122,10
0.6.110.20,116,3
107.214.48.139,118,26
237.133.89.205,116,14
115.51.173.224,122,2
3.191.20.176,119,24
227.33.187.121,119,3
245.252.183.252,118,4
107.237.245.203,120,8
115.49.123.74,122,2
140.157.26.107,122,1
115.54.6.240,122,4
225.211.124.2,113,4
227.5.185.175,121,1
115.12.190.124,56,6
115.12.190.124,120,5
245.253.153.90,118,76
241.169.130.240,248,10
107.211.9.188,119,393
162.133.133.29,118,1
241.229.142.74,246,12
241.229.142.74,236,1
224.82.106.245,113,69
162.158.111.254,118,5
245.191.60.113,115,7
140.143.116.26,119,5
140.128.68.156,120,1
252.44.17.76,117,1
252.44.17.76,118,2
115.42.135.171,123,1
228.88.101.148,114,42
115.42.232.225,122,4
236.32.22.7,120,1
252.224.223.111,22,3
115.50.170.196,122,11
3.176.160.165,57,1
162.134.181.99,118,6
245.239.242.62,119,19
227.235.46.218,121,11
243.21.61.129,117,177
115.32.100.161,122,296
0.87.206.189,122,3
245.255.80.15,248,3
225.211.2.193,50,21
165.206.230.254,115,3
162.133.38.6,245,1
162.158.116.106,118,6
3.176.160.167,121,1
162.138.204.103,120,17
115.34.140.162,121,5
236.141.74.66,242,1
140.140.150.241,120,16
3.46.60.112,117,3
228.84.87.163,115,186
100.171.236.201,119,5
245.253.162.222,118,50
143.165.254.170,117,3
107.214.204.177,120,5
115.51.20.110,122,63
115.51.173.208,122,3
140.137.123.219,120,8
115.55.224.198,122,219
115.49.193.226,122,4
0.15.122.40,119,2
165.180.142.36,23,1
162.135.48.185,117,8
241.80.146.249,121,5
238.207.14.129,119,13
2.58.54.47,119,54
245.51.184.160,120,9
248.186.116.0,56,3
0.180.252.234,120,3
107.212.195.19,118,2
107.212.195.19,119,19
238.76.210.1,118,1
238.2.107.116,111,2
245.253.80.81,54,97
162.139.81.254,119,1
236.170.34.101,114,1
162.134.189.254,54,2
245.244.35.9,117,3
143.173.114.231,121,40
162.131.209.221,58,94
225.211.99.165,115,1
143.182.131.107,58,7
227.197.69.21,117,5
0.180.204.164,120,1
4.116.125.76,119,40
3.170.228.125,119,6
243.49.9.235,119,25
115.46.140.248,122,5
228.86.219.7,115,4
162.133.89.144,120,2
100.157.197.80,119,17
107.206.45.212,120,450
115.35.217.21,122,438
3.176.34.30,120,2
245.252.114.226,119,18
0.15.31.75,117,74
144.160.113.148,23,1
140.158.6.158,117,1
3.235.153.5,58,3
245.252.177.214,118,3
252.44.82.42,119,4
241.245.124.151,121,12
162.136.145.126,118,1
245.56.122.240,117,3
241.222.250.8,56,4
100.189.249.104,118,8
140.118.250.6,119,5
241.53.106.18,57,1
115.46.140.255,122,5
244.229.48.227,113,6
140.126.135.214,120,24
0.87.214.121,124,23
245.253.36.40,119,6
140.129.70.5,54,10
245.252.173.75,118,17
227.224.9.140,118,8
2.46.254.31,119,68
162.141.38.134,118,1
107.210.101.17,120,260
227.143.152.188,117,3
140.137.70.65,119,1
135.203.164.99,120,7
224.213.6.195,21,10
238.8.12.251,121,1
245.252.53.21,120,34
3.176.122.244,58,20
140.135.233.95,23,3
162.143.241.254,51,2
227.247.88.194,61,15
140.137.9.190,55,11
240.39.208.61,117,21
140.143.41.15,119,1
252.208.117.59,118,2
245.239.194.233,119,7
245.69.129.255,52,12
238.2.71.214,59,22
115.51.173.246,122,3
162.136.90.224,117,24
107.136.39.228,119,9
0.141.37.169,56,21
245.51.127.75,119,12
140.132.99.249,56,10
162.133.130.241,118,4
227.197.110.227,244,1
0.202.44.125,116,4
107.215.219.74,119,483
115.46.141.89,122,5
107.80.165.4,119,7
107.80.165.4,120,3
115.50.214.41,122,1
107.211.60.93,118,7
241.252.126.221,56,63
115.32.53.132,121,30
252.42.202.165,247,2
245.253.125.162,119,19
153.125.47.57,121,2
107.211.12.135,120,7
115.54.143.83,122,11
115.43.162.190,121,4
3.176.17.14,121,458
245.56.248.234,249,2
1.78.195.211,57,18
227.117.120.37,248,3
107.210.146.156,118,261
115.54.136.80,122,6
3.190.255.31,119,25
107.114.137.192,121,6
227.235.72.224,58,1
236.191.117.35,52,8
115.50.186.224,122,42
245.49.93.193,118,1
227.186.179.171,59,1
162.141.139.249,118,11
0.180.230.165,120,2
140.130.254.9,55,16
140.133.79.160,122,73
3.214.138.253,118,7
115.32.208.124,57,30
237.108.171.185,248,5
238.74.187.95,117,8
248.74.155.90,57,1
100.171.115.130,119,10
245.10.84.16,116,15
0.180.220.143,58,302
0.180.220.143,55,5
238.203.147.122,120,182
140.137.224.37,119,1
245.49.232.209,249,2
115.54.160.2,122,15
227.235.23.21,121,5
227.235.23.21,25,1
3.176.160.145,143,1
140.141.204.79,56,10
107.254.15.253,119,15
245.253.39.241,119,6
100.160.76.60,119,7
245.253.87.8,118,1
243.243.138.218,56,4
3.176.67.133,121,7
115.51.175.209,122,3
107.211.107.195,118,20
3.231.224.190,121,19
252.44.153.131,121,3
115.45.92.98,123,5
140.137.121.145,120,2
227.5.188.31,121,16
140.134.191.12,118,2
245.252.179.206,118,1
245.112.137.253,59,8
245.112.137.253,60,2
3.161.49.124,251,1
140.141.74.143,120,18
227.250.82.152,56,82
107.7.253.130,246,1
69.224.95.243,51,1
244.77.254.130,48,6
236.192.244.92,240,1
115.46.140.1,122,1
245.252.25.22,117,5
252.44.17.201,117,3
140.139.37.225,119,1
245.239.222.6,119,6
252.44.92.228,120,5
140.137.203.163,119,3
115.51.175.196,122,3
227.186.179.55,123,32
245.252.185.60,118,3
115.52.9.98,122,12
245.253.162.49,118,3
245.51.217.112,120,7
140.157.232.26,123,4
107.212.37.142,118,61
245.56.245.252,119,2
1.88.78.30,59,10
3.176.160.229,143,1
140.140.70.15,248,9
140.140.250.166,120,3
241.245.117.75,59,47
92.77.92.32,23,1
243.160.204.84,123,12
252.84.94.128,118,1
171.127.150.253,251,2
241.173.134.4,118,2
126.13.54.216,23,1
0.42.213.114,56,14
0.42.213.114,247,1
115.46.189.21,123,1
100.253.70.141,119,22
115.34.101.94,122,6
224.86.85.184,114,19
115.51.175.235,122,3
236.249.87.235,116,6
140.139.34.106,119,2
245.49.220.52,54,1
162.134.229.244,119,2
100.253.249.123,120,729
115.51.172.212,122,3
115.42.64.240,123,3
238.107.97.155,49,1
245.252.52.31,120,19
227.57.48.252,56,1
3.112.221.46,122,15
129.124.117.196,118,7
140.157.105.194,122,4
0.61.221.9,58,1
245.252.160.235,119,1
115.50.193.88,121,10
224.85.8.121,114,4
238.181.214.245,56,7
3.176.160.142,121,1
115.55.177.113,122,8
227.47.0.11,55,1
238.243.114.39,119,72
135.203.130.245,121,2
237.13.206.148,52,6
244.171.225.61,244,1
107.212.202.200,117,2
107.212.202.200,118,53
245.191.63.141,54,31
245.191.63.141,245,1
245.239.232.195,120,30
115.48.42.176,58,1
107.236.73.203,119,1
3.231.239.183,122,1
